modelid,rating_score,review_score,price_score,name,type,address1,address2,rating,themenum,latitude,longitude
1278,0.0,0.12539357025679385,0.44516960596979405,한라생태체험학교,체험여행,제주 제주시 애월읍 녹고메길 165,유수암리 1178-1,0.0,24,33.4057413341058,126.408082887157
1279,0.9975096762872468,0.4119088254001189,0.8804177449974279,홀리데이다이빙코리아 스쿠버다이빙 센터,"관람,체험",제주 서귀포시 칠십리로91번길 25 1층,서귀동 688-5,4.98,24,33.2408638676605,126.562838702676
1280,0.0,0.301405698584187,0.44516960596979405,성산 파라다이스힐 감귤체험,"관람,체험",제주 서귀포시 성산읍 일주동로4120번길 113,오조리 1666-5,0.0,24,33.4546556158905,126.901966506467
1281,0.0,0.21689524086008505,0.44516960596979405,붉은오름자연휴양림 유아숲체험원,"관람,체험",제주 서귀포시 표선면 남조로 1487-73 붉은오름 자연휴양림 숲속의 집,가시리 산158,0.0,24,33.3960408950916,126.669144945634
1282,0.0,0.12539357025679385,0.44516960596979405,한라산철쭉제,"관람,체험",제주 제주시 1100로 2070-61,해안동 산220-13,0.0,24,33.3916258616561,126.494896140581
1283,0.0,0.39748821337712403,0.44516960596979405,한경면,"관람,체험",없음,제주 제주시 한경면 조수리 2372,0.0,24,33.3251721038099,126.220433898256
1284,0.0,0.2947024590172747,0.44516960596979405,서광리123정원,"관람,체험",없음,제주 서귀포시 안덕면 서광리 123-1,0.0,24,33.285903597868,126.333337632144
1285,0.0,0.35015919385786876,0.44516960596979405,혼인지마을,체험마을,없음,제주 서귀포시 성산읍 온평리 1702-1,0.0,24,33.414969660782,126.894918374535
1286,0.0,0.145577426848741,0.44516960596979405,풍차초콜릿체험장,"관람,체험",제주 제주시 한경면 일주서로 4187 초콜릿체험장,용수리 1244,0.0,24,33.3402333822174,126.181783889552
1287,0.894619865062285,0.39290736918747815,0.44516960596979405,화랑수석원,체험여행,없음,제주 서귀포시 회수동 573-1,4.22,24,33.2520143855224,126.446254174331
1288,0.0,0.301405698584187,0.44516960596979405,제주고장,"관람,체험",제주 서귀포시 중산간동로 8462-2 임업인복합문화센터 2층,서호동 1236-1,0.0,24,33.260762373667,126.513089673385
1289,0.0,0.23200567388887777,0.44516960596979405,제주성읍마을관람초가,"관람,체험",제주 서귀포시 성읍정의현로 104,표선면 성읍리 1620,0.0,24,33.3917596542825,126.801109116299
1290,0.0,0.3733089666846197,0.6250044890207578,가시리농어촌체험휴양마을협의회,"관람,체험",제주 서귀포시 표선면 녹산로 381-15 조랑말체험공원,가시리 3149-33,0.0,24,33.3831935536892,126.735980036799
1291,0.0,0.39052690704176296,0.44516960596979405,따라비승마장,"관람,체험",제주 서귀포시 표선면 녹산로 381-15 가시리조랑말체험공원,가시리 3149-33,0.0,24,33.3831935536892,126.735980036799
1292,0.0,0.2753841816716741,0.44516960596979405,씨엘빌리지,체험마을,제주 서귀포시 표선면 세성로 67-2,세화리 353,0.0,24,33.4994760441558,126.8567727074
1293,0.0,0.33808096680007105,0.6843341159749382,구엄 어촌체험마을,체험여행,제주 제주시 애월읍 애월해안로 713,구엄리 608-1,0.0,24,33.4838205714928,126.37704811817
1294,0.0,0.0,0.44516960596979405,교래자연휴양림 유아숲체험원,"관람,체험",제주 제주시 조천읍 남조로 2023 교래자연휴양림,교래리 산98,0.0,24,33.4410277943218,126.66547064755
1295,0.0,0.12539357025679385,0.6843341159749382,도깨비장군활터_제 2활터,체험여행,제주 서귀포시 표선면 성읍정의현로55번길 7 도깨비장군 제 2활터,성읍리 800,0.0,24,33.3874715273671,126.80019221132
1296,0.9303797288836323,0.43453494963453815,0.44516960596979405,가시리농어촌체험(조랑말체험),"관람,체험",제주 서귀포시 표선면 가시로565번길 20,가시리 1876-2,4.47,24,33.3538603782922,126.77140516502
1297,0.0,0.0,0.44516960596979405,가시리농촌체험휴양마을,체험마을,제주 서귀포시 표선면 가시로565번길 20,가시리 1876-2,0.0,24,33.3538603782922,126.77140516502
1298,0.0,0.1760121283273931,0.44516960596979405,제주워킹홀리데이캠프,체험여행,제주 서귀포시 대정읍 하모백사로14번길 1 제주워킹홀리데이캠프,하모리 621-1,0.0,24,33.2125034662501,126.259766883808
1299,0.0,0.23200567388887777,0.44516960596979405,연동연대,"관람,체험",제주 서귀포시 이어도로1066번길 45,서호동 70-3,0.0,24,33.2424865984959,126.52371666792
